"","First.Variable","Second.Variable","Correlation"
"6","DPP4","FAP",0.917929889695423
"24","DPP9","DPP2",0.877283529903608
"12","FAP","DPP8",0.876595334692901
"11","DPP4","DPP8",0.710631085467557
"18","DPP8","DPP9",0.509640167689232
"23","DPP8","DPP2",0.469258902611805
"22","FAP","DPP2",0.200915271109266
"16","DPP4","DPP9",-0.1871469270318
"17","FAP","DPP9",0.122054542522003
"21","DPP4","DPP2",-0.0945061597692963
