"","DPP4","FAP","DPP8","DPP9","DPP2"
"NonIBDsd",0.010112653850729,0.00210552605811925,0.000541537964078828,0.00351454469572031,0.000505489821851714
"CDsd",0.00963164363683332,0.00144677259636613,0.000681157766633742,0.00317913189858826,0.000243166118137104
"UCsd",0.00359584064639973,0.00525935683171895,0.000765698257935315,0.00112104728105213,0.000212789044710221
