"","First.Variable","Second.Variable","Correlation"
"18","DPP8","DPP9",0.908076102561988
"22","FAP","DPP2",0.801193009509001
"11","DPP4","DPP8",0.660607814465432
"16","DPP4","DPP9",0.640444894563534
"24","DPP9","DPP2",0.333824775889721
"21","DPP4","DPP2",0.303915869148449
"23","DPP8","DPP2",0.270525777199024
"6","DPP4","FAP",-0.172397532668338
"17","FAP","DPP9",0.0504594240566176
"12","FAP","DPP8",-0.0373459155764645
